time,minor,major
2024-11-15 12:48:03,310.4711,0
2024-11-15 12:48:02,303.6095,0
2024-11-15 12:48:01,342.6237,0
2024-11-15 12:48:00,239.3909,0
2024-11-15 12:47:59,238.8772,0
2024-11-15 12:47:58,237.7589,0
2024-11-15 12:47:57,239.3978,-0.3795402
2024-11-15 12:47:56,265.8171,-0.6204598
2024-11-15 12:47:55,281.8179,0
2024-11-15 12:47:54,238.6152,0
2024-11-15 12:47:53,239.4737,0
2024-11-15 12:47:52,241.6216,0
2024-11-15 12:47:51,239.8717,0
2024-11-15 12:47:50,238.4213,0
2024-11-15 12:47:49,263.6982,0
2024-11-15 12:47:48,279.3208,0
2024-11-15 12:47:47,241.6502,-0.3796639
2024-11-15 12:47:46,285.0149,-0.6203361
2024-11-15 12:47:45,316.762,0
2024-11-15 12:47:44,254.8988,0
2024-11-15 12:47:43,241.121,0
2024-11-15 12:47:42,245.6516,0
2024-11-15 12:47:41,245.8396,0
2024-11-15 12:47:40,272.4316,0
2024-11-15 12:47:39,638.1566,0
2024-11-15 12:47:38,805.4497,-0.7588922
2024-11-15 12:47:37,243.9682,-1.2411078
2024-11-15 12:47:36,263.2677,0
2024-11-15 12:47:35,277.578,0
2024-11-15 12:47:34,253.8446,0
2024-11-15 12:47:33,265.5407,0
2024-11-15 12:47:32,299.9941,0
2024-11-15 12:47:31,344.9449,0
2024-11-15 12:47:30,261.3782,0
2024-11-15 12:47:29,264.8143,0
2024-11-15 12:47:28,240.0211,0
2024-11-15 12:47:27,243.4423,-0.3795869
2024-11-15 12:47:26,274.4161,-0.6204131
2024-11-15 12:47:25,287.1508,0
2024-11-15 12:47:24,240.3809,0
2024-11-15 12:47:23,242.1428,0
2024-11-15 12:47:22,242.8547,0
2024-11-15 12:47:21,239.8782,0
2024-11-15 12:47:20,239.1531,0
2024-11-15 12:47:19,250.8615,0
2024-11-15 12:47:18,257.1343,0
2024-11-15 12:47:17,240.9805,-0.379544
2024-11-15 12:47:16,341.6175,-0.620456
2024-11-15 12:47:15,406.548,0
2024-11-15 12:47:14,243.5875,0
2024-11-15 12:47:13,242.6037,0
2024-11-15 12:47:12,242.7634,0
2024-11-15 12:47:11,305.4891,0
2024-11-15 12:47:10,404.4985,0
2024-11-15 12:47:09,343.5613,0
2024-11-15 12:47:08,307.9277,0
2024-11-15 12:47:07,343.3881,-0.3794813
2024-11-15 12:47:06,271.3674,-0.6205187
2024-11-15 12:47:05,292.141,0
2024-11-15 12:47:04,263.2049,0
2024-11-15 12:47:03,288.4445,0
2024-11-15 12:47:02,337.5238,0
2024-11-15 12:47:01,408.3661,0
2024-11-15 12:47:00,330.1295,0
2024-11-15 12:46:59,251.2794,0
2024-11-15 12:46:58,238.8939,0
