time,time
2024-11-15 12:39:18,1.4066218
2024-11-15 12:39:16,1.1977895
2024-11-15 12:39:14,1.457829
2024-11-15 12:39:12,2.666619
2024-11-15 12:39:10,2.864439
2024-11-15 12:39:08,5.076837
2024-11-15 12:39:06,4.423174
2024-11-15 12:39:04,2.406639
2024-11-15 12:39:02,2.0934
2024-11-15 12:39:00,2.937685
2024-11-15 12:38:58,2.333357
2024-11-15 12:38:56,2.728881
2024-11-15 12:38:54,2.011097
2024-11-15 12:38:52,1.5511685
2024-11-15 12:38:50,3.666651
2024-11-15 12:38:48,2.381074
2024-11-15 12:38:46,1.796671
2024-11-15 12:38:44,3.186739
2024-11-15 12:38:42,3.999989
2024-11-15 12:38:40,3.813261
2024-11-15 12:38:38,2.000028
2024-11-15 12:38:36,2.593334
2024-11-15 12:38:34,2.999972
2024-11-15 12:38:32,2.968883
2024-11-15 12:38:30,2.666671
2024-11-15 12:38:28,4.051043
2024-11-15 12:38:26,4.01113
2024-11-15 12:38:24,3.395611
2024-11-15 12:38:22,4.124433
2024-11-15 12:38:20,5.33336
2024-11-15 12:38:18,4.245532
2024-11-15 12:38:16,2.807808
2024-11-15 12:38:14,2.348952
2024-11-15 12:38:12,2.484372
2024-11-15 12:38:10,2.333385
2024-11-15 12:38:08,3.124521
2024-11-15 12:38:06,3.557724
2024-11-15 12:38:04,2.422175
2024-11-15 12:38:02,1.666705
2024-11-15 12:38:00,1.2710663
2024-11-15 12:37:58,1.593359
2024-11-15 12:37:56,2.890036
2024-11-15 12:37:54,2.609937
2024-11-15 12:37:52,1.906638
2024-11-15 12:37:50,1.0000083
2024-11-15 12:37:48,2.38455
2024-11-15 12:37:46,3.395635
2024-11-15 12:37:44,3.906572
2024-11-15 12:37:42,2.875469
2024-11-15 12:37:40,1.6666439
2024-11-15 12:37:38,1.86443
2024-11-15 12:37:36,2.395551
2024-11-15 12:37:34,2.977774
2024-11-15 12:37:32,5.688911
2024-11-15 12:37:30,2.666709
2024-11-15 12:37:28,3.853415
2024-11-15 12:37:26,4.448829
2024-11-15 12:37:24,2.333287
2024-11-15 12:37:22,2.135517
2024-11-15 12:37:20,1.6044509
2024-11-15 12:37:18,1.4266973
2024-11-15 12:37:16,2.333412
2024-11-15 12:37:14,3.915575
2024-11-15 12:37:12,3.219882
2024-11-15 12:37:10,2.000002
2024-11-15 12:37:08,2.093358
2024-11-15 12:37:06,3.37346
2024-11-15 12:37:04,6.688793
2024-11-15 12:37:02,3.666659
2024-11-15 12:37:00,4.754516
2024-11-15 12:36:58,3.62105
2024-11-15 12:36:56,2.302211
2024-11-15 12:36:54,2.031133
2024-11-15 12:36:52,2.333312
2024-11-15 12:36:50,3.322298
2024-11-15 12:36:48,4.000074
2024-11-15 12:36:46,3.813213
2024-11-15 12:36:44,1.999985
2024-11-15 12:36:42,2.395579
2024-11-15 12:36:40,2.651119
2024-11-15 12:36:38,2.5934
2024-11-15 12:36:36,3.546632
2024-11-15 12:36:34,4.000015
2024-11-15 12:36:32,3.802202
2024-11-15 12:36:30,3.651078
2024-11-15 12:36:28,3.484377
2024-11-15 12:36:26,3.333338
2024-11-15 12:36:24,3.135591
2024-11-15 12:36:22,2.906675
2024-11-15 12:36:20,2.046606
2024-11-15 12:36:18,2.608889
2024-11-15 12:36:16,3.666705
2024-11-15 12:36:14,3.271137
2024-11-15 12:36:12,3.000029
2024-11-15 12:36:10,3.2333
2024-11-15 12:36:08,5.359944
2024-11-15 12:36:06,4.000061
2024-11-15 12:36:04,3.406665
2024-11-15 12:36:02,3.593333
2024-11-15 12:36:00,3.906623
2024-11-15 12:35:58,3.155663
2024-11-15 12:35:56,4.666709
2024-11-15 12:35:54,3.084338
2024-11-15 12:35:52,3.582261
2024-11-15 12:35:50,4.464348
2024-11-15 12:35:48,2.453328
2024-11-15 12:35:46,2
2024-11-15 12:35:44,2.296673
2024-11-15 12:35:42,3.390032
2024-11-15 12:35:40,4.00002
2024-11-15 12:35:38,3.999975
2024-11-15 12:35:36,4.000021
2024-11-15 12:35:34,3.011105
2024-11-15 12:35:32,2.302226
2024-11-15 12:35:30,1.968797
2024-11-15 12:35:28,1.6667017
2024-11-15 12:35:26,2.457804
2024-11-15 12:35:24,2.80223
2024-11-15 12:35:22,2.666694
2024-11-15 12:35:20,2.666688
2024-11-15 12:35:18,2.271084
2024-11-15 12:35:16,3.977893
2024-11-15 12:35:14,5.146621
2024-11-15 12:35:12,3.333314
2024-11-15 12:35:10,4.322244
2024-11-15 12:35:08,3.516582
2024-11-15 12:35:06,2.796939
2024-11-15 12:35:04,2.802229
2024-11-15 12:35:02,2.791
2024-11-15 12:35:00,3.999965
2024-11-15 12:34:58,4.59323
2024-11-15 12:34:56,5.593199
2024-11-15 12:34:54,5.011179
2024-11-15 12:34:52,4.177841
2024-11-15 12:34:50,2.666656
2024-11-15 12:34:48,2.271062
2024-11-15 12:34:46,2.296653
2024-11-15 12:34:44,3.983355
2024-11-15 12:34:42,4.01111
2024-11-15 12:34:40,3.302226
2024-11-15 12:34:38,2.999999
2024-11-15 12:34:36,2.60446
2024-11-15 12:34:34,2.426729
2024-11-15 12:34:32,3.333276
2024-11-15 12:34:30,3.531165
2024-11-15 12:34:28,3.822427
2024-11-15 12:34:26,5.333246
2024-11-15 12:34:24,3.553201
2024-11-15 12:34:22,2.302221
2024-11-15 12:34:20,2.000014
2024-11-15 12:34:18,1.937714
2024-11-15 12:34:16,1.3333427
2024-11-15 12:34:14,6.084817
2024-11-15 12:34:12,9.874511
2024-11-15 12:34:10,14.080832
2024-11-15 12:34:08,5.333285
2024-11-15 12:34:06,3.94882
2024-11-15 12:34:04,3.000014
2024-11-15 12:34:02,2.999968
2024-11-15 12:34:00,2.604423
2024-11-15 12:33:58,2.333344
2024-11-15 12:33:56,2.333375
2024-11-15 12:33:54,3.32231
2024-11-15 12:33:52,2.219842
2024-11-15 12:33:50,1.395568
2024-11-15 12:33:48,1.837843
2024-11-15 12:33:46,3.391058
2024-11-15 12:33:44,2.333359
2024-11-15 12:33:42,3.915696
2024-11-15 12:33:40,4.20884
2024-11-15 12:33:38,4.631565
2024-11-15 12:33:36,12.879426
2024-11-15 12:33:34,1.999999
2024-11-15 12:33:32,1.703316
2024-11-15 12:33:30,3.181181
2024-11-15 12:33:28,4.208871
2024-11-15 12:33:26,2.906642
2024-11-15 12:33:24,1.999991
2024-11-15 12:33:22,3.186704
2024-11-15 12:33:20,3.208865
2024-11-15 12:33:18,2.977889
2024-11-15 12:33:16,5.93771
2024-11-15 12:33:14,5.333387
2024-11-15 12:33:12,3.058777
2024-11-15 12:33:10,2.093369
2024-11-15 12:33:08,3.093371
2024-11-15 12:33:06,2.906629
2024-11-15 12:33:04,2.401099
2024-11-15 12:33:02,3.00244
2024-11-15 12:33:00,9.391201
2024-11-15 12:32:58,8.333342
2024-11-15 12:32:56,4.575236
2024-11-15 12:32:54,2.29666
2024-11-15 12:32:52,4.280067
2024-11-15 12:32:50,4.313321
2024-11-15 12:32:48,15.663954
2024-11-15 12:32:46,15.297758
2024-11-15 12:32:44,9.162586
2024-11-15 12:32:42,6.985598
2024-11-15 12:32:40,2.093389
2024-11-15 12:32:38,3.404615
2024-11-15 12:32:36,7.333507
2024-11-15 12:32:34,9.509028
2024-11-15 12:32:32,10.657409
2024-11-15 12:32:30,7.333262
2024-11-15 12:32:28,5.948839
2024-11-15 12:32:26,4.999988
2024-11-15 12:32:24,5.248887
2024-11-15 12:32:22,7.666741
2024-11-15 12:32:20,12.413633
2024-11-15 12:32:18,14.888732
2024-11-15 12:32:16,7.333236
2024-11-15 12:32:14,5.355431
2024-11-15 12:32:12,7.362403
2024-11-15 12:32:10,10.164934
2024-11-15 12:32:08,14.999835
2024-11-15 12:32:06,14.604277
2024-11-15 12:32:04,13.275227
2024-11-15 12:32:02,4.773606
2024-11-15 12:32:00,22.00062
2024-11-15 12:31:58,14.879586
2024-11-15 12:31:56,10.093372
2024-11-15 12:31:54,11.000059
2024-11-15 12:31:52,12.58984
2024-11-15 12:31:50,13.707761
2024-11-15 12:31:48,15.102976
2024-11-15 12:31:46,25.99996
2024-11-15 12:31:44,12.747885
2024-11-15 12:31:42,3.822306
2024-11-15 12:31:40,5.33344
2024-11-15 12:31:38,10.080621
2024-11-15 12:31:36,13.722383
2024-11-15 12:31:34,16.098875
2024-11-15 12:31:32,2.593351
2024-11-15 12:31:30,4.262217
2024-11-15 12:31:28,11.666682
2024-11-15 12:31:26,6.227797
2024-11-15 12:31:24,7.741591
2024-11-15 12:31:22,14.991627
2024-11-15 12:31:20,46.7484
2024-11-15 12:31:18,10.333113
2024-11-15 12:31:16,5.784188
2024-11-15 12:31:14,3.444847
2024-11-15 12:31:12,10.315194
2024-11-15 12:31:10,3.666724
2024-11-15 12:31:08,4.457834
2024-11-15 12:31:06,6.977925
2024-11-15 12:31:04,10.543451
2024-11-15 12:31:02,30.19429
2024-11-15 12:31:00,12.666975
2024-11-15 12:30:58,16.424524
