time,Committed_AS
2024-11-15 12:16:30,6946.32
2024-11-15 12:16:29,6946.32
2024-11-15 12:16:28,6946.32
2024-11-15 12:16:27,6946.32
2024-11-15 12:16:26,6946.32
2024-11-15 12:16:25,6946.32
2024-11-15 12:16:24,6946.32
2024-11-15 12:16:23,6946.32
2024-11-15 12:16:22,6946.32
2024-11-15 12:16:21,6938.125
2024-11-15 12:16:20,6938.125
2024-11-15 12:16:19,6938.125
2024-11-15 12:16:18,6938.125
2024-11-15 12:16:17,6938.125
2024-11-15 12:16:16,6938.125
2024-11-15 12:16:15,6938.125
2024-11-15 12:16:14,6938.125
2024-11-15 12:16:13,6938.125
2024-11-15 12:16:12,6938.125
2024-11-15 12:16:11,6938.125
2024-11-15 12:16:10,6938.125
2024-11-15 12:16:09,6938.125
2024-11-15 12:16:08,6938.125
2024-11-15 12:16:07,6938.125
2024-11-15 12:16:06,6938.637
2024-11-15 12:16:05,6938.637
2024-11-15 12:16:04,6938.637
2024-11-15 12:16:03,6938.637
2024-11-15 12:16:02,6938.637
2024-11-15 12:16:01,6938.637
2024-11-15 12:16:00,6946.945
2024-11-15 12:15:59,6946.945
2024-11-15 12:15:58,6946.945
2024-11-15 12:15:57,6946.945
2024-11-15 12:15:56,6946.945
2024-11-15 12:15:55,6946.945
2024-11-15 12:15:54,6946.945
2024-11-15 12:15:53,6946.945
2024-11-15 12:15:52,6946.945
2024-11-15 12:15:51,6946.945
2024-11-15 12:15:50,6946.945
2024-11-15 12:15:49,6946.945
2024-11-15 12:15:48,6938.734
2024-11-15 12:15:47,6938.734
2024-11-15 12:15:46,6938.734
2024-11-15 12:15:45,6938.734
2024-11-15 12:15:44,6938.734
2024-11-15 12:15:43,6938.734
2024-11-15 12:15:42,6938.734
2024-11-15 12:15:41,6947.172
2024-11-15 12:15:40,6947.172
2024-11-15 12:15:39,6947.172
2024-11-15 12:15:38,6947.172
2024-11-15 12:15:37,6947.172
2024-11-15 12:15:36,6939.309
2024-11-15 12:15:35,6939.309
2024-11-15 12:15:34,6939.309
2024-11-15 12:15:33,6939.309
2024-11-15 12:15:32,6939.309
2024-11-15 12:15:31,6947.758
2024-11-15 12:15:30,6947.758
2024-11-15 12:15:29,6947.758
2024-11-15 12:15:28,6947.758
2024-11-15 12:15:27,6947.758
2024-11-15 12:15:26,6947.758
2024-11-15 12:15:25,6939.926
2024-11-15 12:15:24,6939.926
2024-11-15 12:15:23,6939.926
2024-11-15 12:15:22,6939.926
2024-11-15 12:15:21,6939.926
2024-11-15 12:15:20,6939.926
2024-11-15 12:15:19,6939.926
2024-11-15 12:15:18,6939.926
2024-11-15 12:15:17,6939.926
2024-11-15 12:15:16,6939.926
2024-11-15 12:15:15,6939.926
2024-11-15 12:15:14,6932.051
2024-11-15 12:15:13,6932.051
2024-11-15 12:15:12,6932.051
