time,minor,major
2024-11-15 17:42:42,229.7168,0
2024-11-15 17:42:41,321.116,0
2024-11-15 17:42:40,883.5172,0
2024-11-15 17:42:39,1194.6382,0
2024-11-15 17:42:38,225.3596,0
2024-11-15 17:42:37,226.6604,0
2024-11-15 17:42:36,280.3768,0
2024-11-15 17:42:35,390.6194,0
2024-11-15 17:42:34,356.1445,0
2024-11-15 17:42:33,276.2726,0
2024-11-15 17:42:32,245.6818,0
2024-11-15 17:42:31,309.6696,0
2024-11-15 17:42:30,358.5542,0
2024-11-15 17:42:29,278.9658,0
2024-11-15 17:42:28,332.7222,0
2024-11-15 17:42:27,239.7868,0
2024-11-15 17:42:26,276.3945,0
2024-11-15 17:42:25,275.1819,0
2024-11-15 17:42:24,225.969,0
2024-11-15 17:42:23,222.6767,0
2024-11-15 17:42:22,224.3288,0
2024-11-15 17:42:21,288.68,0
2024-11-15 17:42:20,350.9729,0
2024-11-15 17:42:19,226.6597,0
2024-11-15 17:42:18,229.6478,0
2024-11-15 17:42:17,287.3581,0
2024-11-15 17:42:16,406.7062,0
2024-11-15 17:42:15,349.3704,0
2024-11-15 17:42:14,279.1591,0
2024-11-15 17:42:13,294.7845,0
2024-11-15 17:42:12,231.0504,0
2024-11-15 17:42:11,310.7417,0
2024-11-15 17:42:10,367.5276,0
2024-11-15 17:42:09,227.9543,0
2024-11-15 17:42:08,224.366,0
2024-11-15 17:42:07,224.3583,0
2024-11-15 17:42:06,222.6463,0
2024-11-15 17:42:05,265.6428,0
2024-11-15 17:42:04,308.0172,0
2024-11-15 17:42:03,222.7025,0
2024-11-15 17:42:02,225.3261,0
2024-11-15 17:42:01,354.8104,0
2024-11-15 17:42:00,483.1296,0
2024-11-15 17:41:59,223.6687,0
2024-11-15 17:41:58,222.674,0
2024-11-15 17:41:57,236.0846,0
2024-11-15 17:41:56,251.6454,0
2024-11-15 17:41:55,228.3562,0
2024-11-15 17:41:54,232.3036,0
2024-11-15 17:41:53,232.3128,0
2024-11-15 17:41:52,226.9991,0
2024-11-15 17:41:51,343.2717,0
2024-11-15 17:41:50,515.6944,0
2024-11-15 17:41:49,346.3654,0
2024-11-15 17:41:48,234.9734,0
2024-11-15 17:41:47,236.4479,0
2024-11-15 17:41:46,307.3172,0
2024-11-15 17:41:45,348.3093,0
2024-11-15 17:41:44,241.006,0
2024-11-15 17:41:43,237.2754,0
2024-11-15 17:41:42,233.3687,0
2024-11-15 17:41:41,376.1367,0
2024-11-15 17:41:40,547.5259,0
2024-11-15 17:41:39,330.6484,0
2024-11-15 17:41:38,224.6752,0
2024-11-15 17:41:37,223.6502,0
2024-11-15 17:41:36,223.3232,0
2024-11-15 17:41:35,223.9649,0
2024-11-15 17:41:34,223.673,0
2024-11-15 17:41:33,222.9936,0
2024-11-15 17:41:32,223.0273,0
2024-11-15 17:41:31,298.8556,0
2024-11-15 17:41:30,409.0422,0
2024-11-15 17:41:29,349.1195,0
2024-11-15 17:41:28,332.6884,0
2024-11-15 17:41:27,240.0821,0
2024-11-15 17:41:26,254.5689,0
2024-11-15 17:41:25,223.3295,0
2024-11-15 17:41:24,224.0325,0
2024-11-15 17:41:23,225.9286,0
2024-11-15 17:41:22,223.3568,0
2024-11-15 17:41:21,284.6413,0
2024-11-15 17:41:20,340.6758,0
2024-11-15 17:41:19,222.0222,0
2024-11-15 17:41:18,224.0077,0
2024-11-15 17:41:17,231.7097,0
2024-11-15 17:41:16,297.6795,0
2024-11-15 17:41:15,352.7128,0
2024-11-15 17:41:14,249.5797,0
2024-11-15 17:41:13,223.0051,0
2024-11-15 17:41:12,227.363,0
2024-11-15 17:41:11,297.639,0
2024-11-15 17:41:10,353.6075,0
2024-11-15 17:41:09,222.6759,0
2024-11-15 17:41:08,224.3818,0
2024-11-15 17:41:07,1314.3442,0
2024-11-15 17:41:06,2388.694,0
2024-11-15 17:41:05,237.6385,0
2024-11-15 17:41:04,242.082,0
2024-11-15 17:41:03,258.936,0
2024-11-15 17:41:02,229.6416,0
2024-11-15 17:41:01,353.3715,0
2024-11-15 17:41:00,481.6152,0
2024-11-15 17:40:59,224.6748,0
2024-11-15 17:40:58,227.2917,0
2024-11-15 17:40:57,238.7693,0
2024-11-15 17:40:56,251.3051,0
2024-11-15 17:40:55,225.647,0
2024-11-15 17:40:54,227.3424,0
2024-11-15 17:40:53,229.9283,0
2024-11-15 17:40:52,226.3411,0
2024-11-15 17:40:51,285.0297,0
2024-11-15 17:40:50,340.9643,0
2024-11-15 17:40:49,224.6909,0
2024-11-15 17:40:48,227.724,0
2024-11-15 17:40:47,237.6905,0
2024-11-15 17:40:46,305.318,0
2024-11-15 17:40:45,355.9819,0
2024-11-15 17:40:44,237.6165,0
2024-11-15 17:40:43,225.3322,0
2024-11-15 17:40:42,228.0322,0
2024-11-15 17:40:41,346.2915,0
2024-11-15 17:40:40,925.3677,0
2024-11-15 17:40:39,1176.9727,0
2024-11-15 17:40:38,226.3515,0
2024-11-15 17:40:37,224.6202,0
2024-11-15 17:40:36,279.0326,0
2024-11-15 17:40:35,334.0282,0
2024-11-15 17:40:34,226.9713,0
2024-11-15 17:40:33,299.8165,0
2024-11-15 17:40:32,371.515,0
2024-11-15 17:40:31,311.1681,0
2024-11-15 17:40:30,428.6974,0
2024-11-15 17:40:29,311.2063,0
2024-11-15 17:40:28,251.6367,0
2024-11-15 17:40:27,242.4312,0
2024-11-15 17:40:26,258.2069,0
2024-11-15 17:40:25,227.0073,0
2024-11-15 17:40:24,223.3495,0
2024-11-15 17:40:23,278.2647,0
2024-11-15 17:40:22,332.7071,0
2024-11-15 17:40:21,338.6926,0
2024-11-15 17:40:20,447.9604,0
2024-11-15 17:40:19,226.3573,0
2024-11-15 17:40:18,233.0434,0
2024-11-15 17:40:17,241.9734,0
2024-11-15 17:40:16,291.0128,0
2024-11-15 17:40:15,348.012,0
2024-11-15 17:40:14,255.1036,0
2024-11-15 17:40:13,257.8492,0
2024-11-15 17:40:12,229.4043,0
2024-11-15 17:40:11,301.6821,0
2024-11-15 17:40:10,357.5726,0
2024-11-15 17:40:09,268.5953,0
2024-11-15 17:40:08,310.4613,0
2024-11-15 17:40:07,227.3247,0
2024-11-15 17:40:06,229.2928,0
2024-11-15 17:40:05,227.6707,0
2024-11-15 17:40:04,227.3767,0
2024-11-15 17:40:03,234.3795,0
2024-11-15 17:40:02,240.2962,0
2024-11-15 17:40:01,357.096,0
2024-11-15 17:40:00,484.9062,0
2024-11-15 17:39:59,280.3331,0
2024-11-15 17:39:58,354.7263,0
2024-11-15 17:39:57,289.0001,0
2024-11-15 17:39:56,317.2924,0
2024-11-15 17:39:55,334.9625,0
2024-11-15 17:39:54,229.6611,0
2024-11-15 17:39:53,234.3458,0
2024-11-15 17:39:52,237.3089,0
2024-11-15 17:39:51,360.4022,0
2024-11-15 17:39:50,481.9187,0
2024-11-15 17:39:49,245.372,0
2024-11-15 17:39:48,249.0027,0
2024-11-15 17:39:47,239.9325,0
2024-11-15 17:39:46,293.0118,0
2024-11-15 17:39:45,356.6921,0
2024-11-15 17:39:44,242.6268,0
2024-11-15 17:39:43,226.0158,0
2024-11-15 17:39:42,231.014,0
2024-11-15 17:39:41,304.6848,0
2024-11-15 17:39:40,369.6587,0
2024-11-15 17:39:39,242.0752,0
2024-11-15 17:39:38,230.3874,0
2024-11-15 17:39:37,229.5169,0
2024-11-15 17:39:36,226.0332,0
2024-11-15 17:39:35,224.978,0
2024-11-15 17:39:34,225.31,0
2024-11-15 17:39:33,223.0083,0
2024-11-15 17:39:32,224.668,0
2024-11-15 17:39:31,296.1344,0
2024-11-15 17:39:30,380.2962,0
2024-11-15 17:39:29,306.2919,0
2024-11-15 17:39:28,335.0047,0
2024-11-15 17:39:27,238.3473,0
2024-11-15 17:39:26,250.9275,0
2024-11-15 17:39:25,226.3344,0
2024-11-15 17:39:24,236.7373,0
2024-11-15 17:39:23,247.9298,0
2024-11-15 17:39:22,224.0009,0
2024-11-15 17:39:21,279.6764,0
2024-11-15 17:39:20,447.6618,0
2024-11-15 17:39:19,508.7102,0
2024-11-15 17:39:18,348.6572,0
2024-11-15 17:39:17,241.6691,0
2024-11-15 17:39:16,297.6986,0
